"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
585681,2.0,e_motorbike,82,23,33207,143.88,11.44,2,728,40526,64084,22,32063,139.38,11.44,37896,59419,22,8616,3815,12986,6993,37896,59419,12.00,11.83,0.07,0.00,0.00,4,3,0,23,1,,,,2
585681,3.0,e_motorbike,82,30,40033,196.87000000000003,12.739999999999998,1,380,56167,70962,30,40033,196.87000000000003,12.739999999999998,56167,70962,30,12558,4825,17340,5778,56167,70962,15.00,14.72,0.29,0.00,0.00,5,4,0,29,0,,,,
585681,4.0,e_motorbike,82,22,33394,165.74,10.87,0,0,37397,57717,22,33394,165.74,10.87,37397,57717,22,10235,4642,13381,5136,37397,57717,15.00,14.97,0.27,0.00,0.00,5,5,0,20,0,,,,
585681,5.0,e_motorbike,82,25,40145,172.42000000000002,12.47,0,0,51045,69666,24,38028,167.37000000000003,12.47,49945,66222,24,11002,4687,16028,6332,49945,66222,15.00,14.49,0.49,0.00,0.00,5,4,0,25,0,,,,
585681,6.0,e_motorbike,82,18,31756,134.29999999999998,11.0,0,0,37554,58345,18,31756,134.29999999999998,11.0,37554,58345,18,10395,3205,14087,4256,37554,58345,15.00,14.83,0.09,0.00,0.00,5,4,0,18,0,,,,
585681,7.0,e_motorbike,82,26,39807,166.89000000000001,12.27,0,0,44833,69613,24,36084,154.09,12.27,40383,65536,25,9263,7095,16013,6470,42716,67296,18.00,14.74,0.17,0.00,0.00,6,4,1,25,0,,,,
585681,8.0,e_motorbike,82,10,16065,57.59,4.45,1,31,19024,30203,9,14938,52.53999999999999,4.45,18248,25051,8,4766,970,5183,1952,15384,22299,15.00,5.74,0.10,0.00,0.00,5,1,3,9,0,,,,
585681,9.0,e_motorbike,82,24,39694,165.57999999999998,10.67,1,389,55342,56552,24,39694,165.57999999999998,10.67,55342,56552,23,13460,3546,12887,7433,51816,50681,15.00,14.66,0.08,0.00,0.00,5,4,0,23,0,,,,
585681,10.0,e_motorbike,82,20,30903,142.9,9.979999999999999,0,0,35123,55985,19,30198,137.95000000000002,9.979999999999999,34494,53030,18,8083,3119,11329,4886,32170,48172,12.00,12.15,0.16,3.00,0.00,4,1,0,17,0,,,,
587522,2.0,bike,81,24,34129,127.00000000000001,0.0,0,0,29615,32338,24,34129,127.00000000000001,0.0,29615,32338,24,9965,5309,10282,8696,29615,32338,12.00,11.77,0.13,0.00,0.00,4,3,0,20,0,,,,
