"driver_id","delivery_id","zone_name","date","del_cancelation_reason","del_accepted_at","del_canceled_at"
382413,312394170,Madrid,2024-03-03,Refused delivery,2024-03-03 12:58:20.112,2024-03-03 13:05:11.131
382413,312397181,Madrid,2024-03-03,Refused delivery,2024-03-03 12:58:20.112,2024-03-03 13:05:11.137
382413,312834218,Madrid,2024-03-09,Late / Unresponsive,2024-03-09 10:31:27.333,2024-03-09 10:51:38.584
405143,307472661,Zaragoza,2024-01-19,Late / Unresponsive,2024-01-19 19:58:15.115,2024-01-19 20:11:43.99
405143,307493731,Zaragoza,2024-01-19,Equipment failure,2024-01-19 21:16:34.851,2024-01-19 21:35:58.681
416535,311389943,Zaragoza,2024-02-23,Late / Unresponsive,2024-02-23 13:23:32.854,2024-02-23 13:54:51.1
416535,311394250,Zaragoza,2024-02-23,Late / Unresponsive,2024-02-23 13:55:05.325,2024-02-23 13:58:46.89
425353,308897668,Barcelona,2024-02-01,Late / Unresponsive,2024-02-01 20:30:06.631,2024-02-01 20:46:02.9
438598,308901695,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 14:09:30.449,2024-02-01 14:24:44.298
439035,307237610,Zaragoza,2024-01-17,Late / Unresponsive,2024-01-17 20:39:09.619,2024-01-17 21:03:50.735
439035,309925163,Zaragoza,2024-02-09,Late / Unresponsive,2024-02-09 20:45:12.196,2024-02-09 21:16:21.741
440895,308204848,Madrid,2024-01-26,Late / Unresponsive,2024-01-26 14:05:02.166,2024-01-26 14:23:15.215
440895,309105277,Madrid,2024-02-02,Late / Unresponsive,2024-02-02 22:13:42.636,2024-02-02 22:29:58.16
440895,310011346,Madrid,2024-02-10,Late / Unresponsive,2024-02-10 15:48:47.13,2024-02-10 18:28:07.844
440895,310666761,Madrid,2024-02-16,Equipment failure,2024-02-16 13:45:55.803,2024-02-16 14:08:04.977
440895,310670528,Madrid,2024-02-16,Refused delivery,2024-02-16 14:08:15.772,2024-02-16 14:13:35.236
440895,312470566,Madrid,2024-03-03,Lack mandatory equipment,2024-03-03 21:47:01.257,2024-03-03 22:01:52.051
440939,306942608,Madrid,2024-01-14,Refused delivery,2024-01-14 22:30:29.253,2024-01-14 22:33:42.711
440939,306944267,Madrid,2024-01-14,Late / Unresponsive,2024-01-14 22:37:32.968,2024-01-14 22:58:04.924
440939,306946272,Madrid,2024-01-14,Late / Unresponsive,2024-01-14 23:06:07.313,2024-01-14 23:18:28.325
