Timestamp,ID Pedido,Justificado,Como se ha justificado
2/14/2024 13:46:09,307677694,SI,Mucho tiempo esperando a entregar el paquete
2/14/2024 13:46:56,307891173,NO,
2/14/2024 13:47:49,308211812,NO,
2/14/2024 13:48:22,306735711,NO,
2/14/2024 13:48:45,308352084,NO,
2/14/2024 13:49:20,309161382,NO,
2/14/2024 13:51:07,309234108,NO,
2/14/2024 13:51:18,306985474,NO,
2/14/2024 13:57:43,309360061,NO,
2/14/2024 13:59:08,308355479,NO,
2/14/2024 13:59:27,310346560,NO,
2/14/2024 14:00:51,309711402,SI,Foto
2/14/2024 14:13:45,309797282,SI,Larga espera
2/14/2024 14:15:59,310197289,NO,
2/14/2024 14:23:32,308790622,NO,
2/14/2024 14:41:12,309840070,NO,
2/14/2024 14:52:01,308694192,SI,Termina su horario a las 15:00 y le calló un pedido a las 15:07.
2/14/2024 15:00:39,305878454,NO,
2/14/2024 15:02:57,306690442,SI,Su horario finaliza a las 22:30 y le entró un pedido a las 22:23.
2/14/2024 15:05:38,310058268,NO,
2/14/2024 15:08:15,303736567,NO,
2/14/2024 15:09:29,306691723,NO,
2/14/2024 15:09:34,310202336,NO,
2/14/2024 15:10:27,309364233,NO,
2/14/2024 15:11:18,306691724,NO,
2/14/2024 15:11:24,310202384,NO,
2/14/2024 15:13:27,309288417,NO,
2/14/2024 15:15:27,303462729,SI,El pedido era demasiado largo. Enseñó capturas.
2/14/2024 15:17:03,303492764,NO,
2/14/2024 15:17:16,307423644,SI,No aparece chat del pedido
2/14/2024 15:18:37,304599688,NO,
2/14/2024 15:19:02,307429445,SI,No aparece chat del pedido
2/14/2024 15:22:10,305077326,SI,Pedido muy largo. Enseñó captura.
2/14/2024 15:24:23,305252831,NO,
2/14/2024 15:26:27,305253154,NO,
2/14/2024 15:29:23,306268868,NO,
2/14/2024 15:29:34,305358728,NO,
2/14/2024 15:31:38,305407463,NO,
2/14/2024 15:33:41,305446480,SI,Pedido fuera de su franja horaria
2/14/2024 15:33:58,307503209,SI,Uno de los pedidos dobles estaba sin hacer.
2/14/2024 15:35:07,307503207,SI,Uno de los pedidos no estaba hecho.
2/14/2024 15:36:27,307511165,SI,Pedido fuera de horario
2/14/2024 15:39:21,304627751,NO,
2/14/2024 15:39:29,308622746,NO,
2/14/2024 15:40:57,304579740,SI,Termina su horario a las 19:00 y le pusieron un pedido a las 19:10.
2/14/2024 15:42:32,304632735,SI,Termina a las 19:00 y le apareció un pedido a las 19:10.
2/14/2024 15:44:48,305267543,SI,Se le rompió los frenos
2/14/2024 15:47:57,306586211,NO,
2/14/2024 15:49:26,309438450,NO,
2/14/2024 15:51:40,303474829,NO,
2/14/2024 15:53:35,303491472,NO,
2/14/2024 15:55:25,304141590,SI,Acaba su horario a las 23:00 y el pedido le calló a las 23:18.
2/14/2024 15:57:37,304175183,NO,
2/14/2024 15:59:19,304175301,NO,
2/14/2024 16:01:15,304175244,NO,
2/14/2024 16:02:38,304183738,NO,
2/14/2024 16:03:49,304334107,SI,Pedido muy largo
2/14/2024 16:06:22,305442582,SI,Larga espera en el punto de recogida.
2/14/2024 16:07:58,305442661,SI,Larga espera en el punto de recogida.
2/14/2024 16:10:29,303413529,NO,
2/14/2024 16:11:37,303495259,NO,
2/14/2024 16:13:16,305900990,SI,Termina el horario a las 23:00 y le calló un pedido a las  23:16.
2/14/2024 16:14:39,306421986,SI,Mostró la imagen de su rueda pinchada.
2/14/2024 16:17:19,306425994,SI,Rueda pinchada
2/14/2024 16:18:12,306426428,SI,Rueda pinchada
2/14/2024 16:22:02,303448872,SI,Termina a las 22:00 y le apareció un pedido a las 22:01
2/14/2024 16:23:45,304265669,NO,
2/14/2024 16:25:23,304271616,SI,Termina a las 22:00 y apareció un pedido a las 22:06
2/14/2024 16:28:46,304272385,NO,
2/14/2024 16:31:55,305890895,SI,Termina a las 22:00 y le apareció un pedido a las 22:34
2/14/2024 16:33:32,307829154,NO,
2/14/2024 16:34:24,308597162,NO,
2/14/2024 16:36:11,308796783,NO,
2/14/2024 16:37:28,305208964,SI,Calle cortada
2/14/2024 16:38:27,307769755,SI,Tiene una rueda pinchada.
2/14/2024 16:39:26,307774297,SI,Tiene la rueda pinchada
2/14/2024 16:40:02,307758074,NO,
2/14/2024 16:41:39,310345299,SI,Si le estropeó la batería de la bicicleta de Port.
2/14/2024 16:42:02,309933604,NO,
2/14/2024 16:44:00,303893149,NO,
2/14/2024 16:46:05,304367200,NO,
2/14/2024 16:47:29,306903656,NO,
2/14/2024 16:49:55,307584876,NO,
2/14/2024 16:51:25,303412269,NO,
2/14/2024 16:52:27,304296248,NO,
2/14/2024 16:53:43,304314436,NO,
2/15/2024 11:35:01,310507220,SI,explicacion correcta
2/15/2024 11:36:18,304311520,SI,Termina a las 12:30 y le apareció un pedido a las 12:45
2/15/2024 11:37:59,304354396,NO,
2/15/2024 11:42:23,304580604,SI,"La App de Port estaba caída, esto impedía sacar las bicicletas."
2/15/2024 11:45:20,304671859,SI,termina a 18:30 y le pusieron un pedido a las 18:38
2/15/2024 11:47:12,304725912,NO,
2/15/2024 11:53:11,305837493,NO,
2/15/2024 11:55:00,310521575,SI,Km excesivo
2/15/2024 11:56:30,307819673,SI,termina a las 18:30 y le pusieron un pedido a las 19:00
2/15/2024 11:57:49,308190586,SI,termina a las 12:30 y le pusieron pedido a las 12:42
2/15/2024 11:58:53,308216275,NO,
2/15/2024 12:00:32,308366989,NO,
2/15/2024 12:01:46,308567045,NO,
2/15/2024 12:02:56,308667354,NO,
2/15/2024 12:04:37,306703984,SI,Problema de pedido en el establecimiento
2/15/2024 12:06:20,307522962,SI,Mostró la imagen y fue justificada con la factura.
2/15/2024 12:12:03,304059835,SI,termina a las 14:30 y le apareció un pedido a las 14:40
2/15/2024 12:13:25,306366198,NO,
2/15/2024 12:16:49,303549841,NO,
2/15/2024 12:18:28,305426258,NO,
2/15/2024 12:25:32,303926377,SI,pedido doble
2/15/2024 13:38:51,303873073,NO,
2/15/2024 13:44:27,306532995,SI,No aparece chat
2/15/2024 13:52:27,303851037,SI,Problemas con los frenos
2/16/2024 11:12:23,303876873,SI,Problemas con los frenos
2/16/2024 11:14:24,310421211,NO,
2/16/2024 11:20:17,305143869,SI,foto y explicación
2/16/2024 11:34:36,303878737,SI,Problemas con los frenos
2/16/2024 11:35:00,303878872,SI,Problemas con los frenos
2/16/2024 11:35:23,305435559,SI,Problemas con los frenos
2/16/2024 11:35:46,305689104,SI,Problemas con los frenos
2/16/2024 11:36:09,306128595,SI,Problemas con los frenos
2/16/2024 11:36:27,306233128,SI,Problemas con los frenos
2/16/2024 11:36:47,307040691,SI,Problemas con los frenos
2/16/2024 11:37:06,307252672,SI,Problemas con los frenos
2/16/2024 11:37:29,307253041,SI,Problemas con los frenos
2/16/2024 11:38:22,309675436,SI,Problemas con los frenos
2/16/2024 11:38:40,310410084,SI,Problemas con los frenos
2/16/2024 11:45:36,305894521,NO,
2/16/2024 11:47:57,304763513,SI,Paquete asignado fuera del horario
2/16/2024 11:51:07,304686406,NO,
2/16/2024 11:56:57,305901052,NO,
2/16/2024 12:54:11,310566441,SI,Fallo de equipo
2/16/2024 12:56:34,304194207,NO,
2/16/2024 12:58:35,305338574,SI,El paquete era grande. Envió una imagen a soporte.
2/16/2024 13:29:09,306206256,NO,
2/21/2024 11:22:37,310750558,NO,
2/21/2024 11:25:49,311000055,NO,
2/21/2024 11:28:08,310666761,NO,
2/21/2024 11:30:27,310670528,NO,
2/21/2024 11:38:59,310894758,NO,
2/21/2024 15:29:24,311077433,NO,
2/21/2024 15:31:10,308911336,SI,Mostró la rueda pinchada
2/21/2024 15:34:31,305436238,NO,
2/21/2024 15:36:30,305550144,NO,
2/21/2024 15:37:41,307507897,NO,
2/21/2024 15:38:57,307506590,SI,Estaba realizando otro pedido anterior.
2/21/2024 15:43:24,310732667,NO,
2/21/2024 15:45:16,304623056,NO,
2/21/2024 15:48:27,305947408,NO,
2/21/2024 15:49:55,311007678,NO,
2/21/2024 15:50:07,307485309,SI,
2/21/2024 15:51:20,307489671,NO,
2/21/2024 15:52:48,308199630,NO,
2/21/2024 15:55:13,310790841,NO,Screenshot
2/21/2024 15:56:37,308863932,SI,"Tenía la rueda rota, mostró la fotografía. "
2/21/2024 16:00:20,305887235,SI,El pedido se lo llevó otro repartidor.
2/21/2024 16:01:47,308287202,SI,
2/21/2024 16:04:21,306918810,NO,
2/21/2024 16:06:12,307642933,SI,Mostró una fotografía en el chat
2/21/2024 16:06:33,311107730,NO,
2/21/2024 16:06:47,311107510,NO,
2/21/2024 16:07:43,306693561,NO,
2/21/2024 16:08:49,307505381,NO,
2/21/2024 16:10:15,310502180,NO,
2/21/2024 16:11:09,310875675,NO,
2/21/2024 16:15:43,310871514,NO,
2/21/2024 16:17:04,310914210,NO,
2/21/2024 16:52:01,310861428,SI,Le robaron la mochila de reparto
2/21/2024 16:52:21,310861427,SI,Le robaron la mochila de reparto
2/21/2024 16:54:02,310797183,SI,Fallo de equipo
2/22/2024 11:28:44,311099491,NO,
2/22/2024 11:29:02,307401674,SI,Mandó un video con la avería
2/22/2024 11:33:35,307398102,SI,A mandado un video con la avería
2/22/2024 12:16:59,305237915,NO,
2/22/2024 12:30:26,304846421,NO,
2/22/2024 12:30:42,304846420,NO,
2/22/2024 12:35:34,304971840,NO,
2/22/2024 12:50:18,306070658,NO,
2/22/2024 12:58:20,305887708,NO,
2/22/2024 13:00:47,306222700,NO,
2/22/2024 13:01:54,306277797,NO,
