"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
591501,2.0,bike,76,42,68351,223.96999999999997,0.0,2,178,60637,59401,39,65513,208.01999999999998,0.0,54252,56338,19,6068,5165,6472,6564,21978,26599,30.00,29.08,0.03,0.00,0.00,10,10,0,41,0,,,,
591501,3.0,bike,76,41,73001,249.73,0.0,2,4216,53148,62508,38,67475,235.48,0.0,45636,58036,23,8144,7670,8536,16255,27112,36504,30.25,29.30,0.50,0.00,0.00,11,7,0,38,1,,,2,
591501,4.0,bike,76,32,62171,183.44,0.0,0,0,52152,53416,30,60557,171.89,0.0,49785,48248,18,11650,6814,7444,10442,31384,30033,30.00,29.20,0.09,0.00,0.00,10,9,0,32,0,,,,
591501,5.0,bike,76,31,48973,180.17,0.0,0,0,36291,49543,31,48973,180.17,0.0,36291,49543,22,8609,3428,10434,10951,27268,36089,30.00,28.89,0.00,0.00,0.00,10,9,0,29,0,,,,
591501,6.0,bike,76,31,58407,185.2,0.0,1,707,39207,50278,31,58407,185.2,0.0,39207,50278,16,7356,4319,7391,9471,21084,29587,30.00,29.03,0.00,0.00,0.00,10,9,0,31,0,,,,
591501,7.0,bike,76,25,46836,154.00000000000003,0.0,1,23,32293,47231,25,46836,154.00000000000003,0.0,32293,47231,16,7575,3535,7459,7151,21500,25980,24.00,23.10,0.23,6.00,0.00,8,7,0,24,0,,,,
591501,51.0,bike,76,17,30304,96.55,0.0,2,2186,20526,28886,13,24532,75.45,0.0,15454,20040,8,3955,1978,4772,4450,10225,11996,18.25,17.81,0.00,0.00,0.00,6,5,0,13,0,,,,
591501,52.0,bike,76,22,42911,129.69000000000003,0.0,3,1046,29455,44397,22,42911,129.69000000000003,0.0,29455,44397,13,6758,1878,7008,10579,18129,24011,24.00,23.28,0.00,6.00,0.00,8,6,0,24,3,,,4,
591508,1.0,bike,76,4,9180,19.1,0.0,0,0,5902,3652,4,9180,19.1,0.0,5902,3652,2,1297,2414,1189,1147,3730,2266,18.00,2.94,0.00,12.00,0.00,6,0,5,4,0,,,,
591508,2.0,bike,76,21,41680,114.25,0.0,3,2023,28256,27638,21,41680,114.25,0.0,28256,27638,19,12354,7468,10782,8275,26067,26825,18.00,19.39,0.28,12.00,0.00,6,0,0,23,2,,1,,1
591508,3.0,bike,76,29,53810,169.35999999999996,0.0,3,3262,32237,40802,28,52067,164.10999999999996,0.0,30280,40433,24,13795,8083,14422,8629,26049,36663,24.25,23.48,0.18,6.00,0.00,9,0,1,29,2,,3,,
591508,4.0,bike,76,22,44732,126.69,0.0,0,0,26574,31034,21,42993,122.34,0.0,24380,27197,21,13587,9189,12182,8035,24380,27197,21.00,20.51,0.11,9.00,0.00,7,0,0,21,0,,,,
591508,5.0,bike,76,24,53068,153.85000000000002,0.0,1,1037,36766,44635,23,50423,147.89999999999998,0.0,34670,43999,23,16921,5671,16094,12281,34670,43999,24.00,23.48,0.06,6.00,0.00,8,1,0,24,1,,1,,
591508,6.0,bike,76,23,43114,158.85,0.0,1,336,22621,38882,23,43114,158.85,0.0,22621,38882,23,9922,8317,14763,10132,22621,38882,18.00,17.73,0.20,12.00,0.00,6,0,0,21,1,,,,1
591508,7.0,bike,76,27,58910,146.34,0.0,3,795,39676,40789,26,55627,141.98999999999998,0.0,37479,40369,25,18453,9248,13714,12752,36400,37278,24.00,23.56,0.21,6.00,0.00,8,1,0,28,2,,,3,
591508,51.0,bike,76,11,24008,68.96,0.0,4,2178,20040,14625,11,24008,68.96,0.0,20040,14625,11,10972,2647,6395,3994,20040,14625,15.25,14.21,0.40,3.00,0.00,5,0,1,14,3,,1,3,
591508,52.0,bike,76,14,30633,77.5,0.0,1,898,19544,18360,14,30633,77.5,0.0,19544,18360,14,12075,5002,8156,5400,19544,18360,18.00,17.62,0.24,12.00,0.00,6,0,0,14,0,,,,
591520,1.0,bike,76,44,88580,253.83999999999997,0.0,2,1646,68061,79527,42,87203,243.64,0.0,66399,77779,41,29661,12970,31008,12315,64044,74815,30.00,29.67,1.76,0.00,0.00,10,7,0,46,2,,2,,
591520,2.0,bike,76,43,92989,246.90999999999997,0.0,3,1240,79282,82800,43,92989,246.90999999999997,0.0,79282,82800,42,31878,7169,33243,20083,76195,81606,30.00,29.73,2.44,0.00,0.00,10,8,0,45,2,,,1,1
591520,3.0,bike,76,39,77440,219.82999999999998,0.0,1,803,62250,67988,39,77440,219.82999999999998,0.0,62250,67988,39,25965,8135,30451,12889,62250,67988,30.00,26.92,0.70,0.00,0.00,10,7,1,38,1,,1,,
591520,4.0,bike,76,43,78842,224.36999999999998,0.0,0,0,60617,75343,42,77689,218.96999999999997,0.0,58859,73885,42,26335,9531,28403,14342,58859,73885,30.25,29.51,1.42,0.00,0.00,11,10,1,43,0,,,,
591520,5.0,bike,76,43,66732,230.43,0.0,3,3625,64539,69569,42,65478,225.33,0.0,61417,68881,40,18642,9907,23015,12090,59284,66525,30.00,29.17,0.16,0.00,0.00,10,4,0,44,3,,3,,
591520,6.0,bike,76,30,44865,166.26,0.0,0,0,37355,47932,30,44865,166.26,0.0,37355,47932,30,13791,6124,17595,8299,37355,47932,24.00,17.46,0.09,6.00,0.00,8,3,2,26,0,,,,
591520,7.0,bike,76,40,68097,215.27,0.0,0,0,66760,61072,38,64908,205.37,0.0,63355,57532,36,21275,10636,21365,9864,59410,55174,30.00,29.71,0.62,0.00,0.00,10,7,0,38,0,,,,
591520,51.0,bike,76,26,52231,147.25,0.0,5,4769,38084,55814,26,52231,147.25,0.0,38084,55814,23,13563,6029,20929,9205,34510,53626,24.00,23.61,0.15,0.00,0.00,7,4,0,29,4,,1,3,
592783,1.0,bike,76,1,1263,5.35,0.0,0,0,1125,1207,0,0,0.0,0.0,0,0,,,,,,,,15.00,15.00,0.00,0.00,0.00,5,3,0,1,0,,,,
592783,2.0,bike,76,3,4289,17.65,0.0,0,0,2121,6564,2,3193,12.3,0.0,1520,4444,2,794,608,1562,229,1520,4444,9.00,9.00,0.00,6.00,0.00,3,3,0,3,0,,,,
592783,3.0,bike,76,3,4102,17.15,0.0,0,0,1534,6057,2,3073,11.8,0.0,1063,4100,2,810,937,1031,295,1063,4100,15.00,14.93,0.00,0.00,0.00,5,3,0,3,0,,,,
592783,4.0,bike,76,1,1093,5.25,0.0,0,0,824,1086,1,1093,5.25,0.0,824,1086,1,405,187,372,129,824,1086,15.00,14.97,0.00,0.00,0.00,5,5,0,1,0,,,,
592783,5.0,bike,76,1,1211,5.9,0.0,0,0,569,2387,1,1211,5.9,0.0,569,2387,1,245,62,769,135,569,2387,15.00,15.00,0.00,0.00,0.00,5,3,0,1,0,,,,
592783,6.0,bike,76,3,3748,18.1,0.0,0,0,1547,5189,2,2676,12.55,0.0,1228,4155,2,654,610,1106,306,1228,4155,15.00,14.68,0.00,0.00,0.00,5,3,0,3,0,,,,
