rank,driver_id,transport_type,WAPU,WADO,PACE PU Succeded,PACE DO Succeded,PACE PU vs DO,Online Rate,Cancelations,IAB,score_WAPU,score_WADO,score_PACE PU Succeded,score_PACE DO Succeded,score_PACE PU vs DO,score_Online Rate,score_Cancelations,score_IAB,Total_Score
29,649163,e_bike,2.832187213128798,2.9236686209276077,5.251692272893241,5.641246896760734,-0.38955462386749257,0.9852407407407406,0.009401709401709403,0.5703703703703703,0.14661215334111966,0.026187271474001347,0.02620211158726904,0.11973327398417888,0.05432672885816416,0.9852407407407406,0.009401709401709403,0.5703703703703703,1.1731478624646685
30,472059,bike,4.850064288996462,4.651729103446865,6.0899679582589865,5.516131472165261,0.5738364860937254,0.9717567452484861,0.016049305685544534,0.8450056116722783,0.35080479650290264,0.057819296984307156,0.03905196234688756,0.11400224456122017,0.06890097415647221,0.9717567452484861,0.016049305685544534,0.8450056116722783,1.17013377668343
31,589907,bike,4.241027377221375,5.417674028737183,8.395514882099079,7.517327827145662,0.8781870549534158,0.9855163758800123,0.01819924400569562,0.897979797979798,0.2891752461771124,0.07183986493396087,0.07439347875710856,0.20566892138058185,0.07350520996618326,0.9855163758800123,0.01819924400569562,0.897979797979798,1.1507142086391677
32,364173,e_motorbike,4.749358559383531,5.2490710792299975,4.142491135500824,3.7604468758407847,0.3820442596600395,0.8704955871849811,0.015670819560979744,0.8122895622895623,0.3406142009720236,0.06875359980963547,0.009199269530991382,0.03358146421776234,0.0659995284970186,0.8704955871849811,0.015670819560979744,0.8122895622895623,1.1489662668861322
33,641356,bike,3.5047528274280157,3.387792940784662,4.9715670914869055,4.999415427779979,-0.027848336293074222,0.9747441077441077,0.001736111111111111,0.593939393939394,0.21467028836127888,0.034683034483562594,0.021908098486421487,0.0903335812987846,0.05979864582578299,0.9747441077441077,0.001736111111111111,0.593939393939394,1.14555374211656
34,455894,motorbike,2.661111111111111,3.8980864197530867,4.735438234772126,3.9615103579783075,0.7739278767938184,0.9598271604938273,0.05555555555555555,0.5185185185185185,0.12930065212502811,0.04402392070123701,0.018288500993861024,0.042791365680658174,0.07192797012933326,0.9598271604938273,0.05555555555555555,0.5185185185185185,1.1164577138266725
35,524684,e_motorbike,4.71010131072631,8.761011453823954,5.244137323288604,4.669488547441438,0.5746487758471653,0.9858125,0.0625,0.825,0.33664168874001343,0.13303942119354703,0.026086302460736087,0.07522097096509775,0.06891326253031906,0.9858125,0.0625,0.825,1.1084108541102866
36,283943,e_motorbikexl,4.846534839645951,8.822913050940828,5.049228876335067,4.125517830649681,0.9237110456853856,0.8740694444444445,0.027243589743589744,0.8916666666666666,0.3504476451182096,0.13417252557208997,0.023098568832211213,0.05030388185924892,0.07419389994995564,0.8740694444444445,0.027243589743589744,0.8916666666666666,1.1062760000358058
37,676735,bike,3.635058984732419,4.245391908561215,6.689667242554401,5.935923368298073,0.7537438742563284,0.9827037037037036,0.016933493677679726,0.6666666666666666,0.2278562048863478,0.050381323230245724,0.04824469743198538,0.13323120626626503,0.07162262518578807,0.9827037037037036,0.016933493677679726,0.6666666666666666,1.1011008196920584
38,483976,e_motorbike,3.3796280331158846,5.645358984575179,3.5663868935384326,3.4118704150326264,0.15451647850580605,0.985176987093399,0.007150205761316873,0.48148148148148145,0.2020086833600513,0.07600762202593526,0.0003682206762581525,0.01761459235123264,0.06255747297000107,0.985176987093399,0.007150205761316873,0.48148148148148145,1.100951671430085
