rank,driver_id,transport_type,WAPU,WADO,PACE PU Succeded,PACE DO Succeded,PACE PU vs DO,Online Rate,Cancelations,IAB,score_WAPU,score_WADO,score_PACE PU Succeded,score_PACE DO Succeded,score_PACE PU vs DO,score_Online Rate,score_Cancelations,score_IAB,Total_Score
46,472480,bike,7.695138888888889,6.638888888888888,5.808116683240992,5.609078306434178,0.19903837680681402,0.994,0.0,0.7,0.37053834808259584,0.03759484500705379,0.351865904170454,0.4603884742877579,0.37050712885542375,0.994,0.0,0.7,0.10310529959671455
47,475943,e_motorbike,2.722727272727273,7.390909090909091,4.512535607954083,4.277565337025424,0.23497027092865963,0.9188888888888889,0.0,0.2222222222222222,0.10651649235720033,0.04275607718624456,0.25861364334736536,0.2615769808252547,0.37263369472762387,0.9188888888888889,0.0,0.2222222222222222,0.09901422266742232
48,589766,bike,4.142792792792793,6.552252252252253,6.6576480998335095,6.552045609297373,0.10560249053613635,0.8366666666666667,0.045454545454545456,0.9,0.18191820138722792,0.03700024422943552,0.41301277235849837,0.6011852536475458,0.36497729048096433,0.8366666666666667,0.045454545454545456,0.9,0.09311835910844934
49,676744,bike,4.895061728395062,6.862345679012346,6.341605094077935,6.306821473318642,0.034783620759292866,0.9956550802139037,0.037037037037037035,0.7,0.22186168469354306,0.039128463881580894,0.390264890835526,0.5645702316184087,0.3607860003957679,0.9956550802139037,0.037037037037037035,0.7,0.08200677175204008
50,622082,bike,2.8044444444444445,6.308888888888889,5.529483235763913,5.970227405352558,-0.44074416958864493,0.83875,0.125,0.625,0.11085545722713863,0.03533000343157814,0.33181065682716065,0.5143125391434558,0.33264272559907826,0.83875,0.125,0.625,0.013798617771588417
51,465133,e_bike,3.611904761904762,4.334126984126984,4.731112427529157,4.781953320092844,-0.05084089256368696,0.9506666666666667,0.0,0.2,0.15372945638432362,0.0217769038450016,0.27434618450414494,0.33688839761355777,0.35571846437223026,0.9506666666666667,0.0,0.2,0.008207259947408507
52,457710,e_bike,4.0396825396825395,4.931746031746032,5.6379370470730175,5.382130862167623,0.25580618490539475,1.0,0.0,0.3333333333333333,0.17644332069110827,0.025878456770285798,0.3396168553680084,0.426502390285011,0.3738668316011984,1.0,0.0,0.3333333333333333,-0.008974521382278666
53,280920,e_motorbikexl,5.866239316239316,8.282478632478632,4.199033590811071,3.879126241479329,0.31990734933174236,0.9496666666666667,0.047619047619047616,0.2,0.27342863626049463,0.04887505829283386,0.23604865499670544,0.2020850543781977,0.37766054612610234,0.9496666666666667,0.047619047619047616,0.2,-0.03605033100671495
54,457602,e_motorbike,3.2562893081761004,4.6845911949685535,3.9644596069826257,3.4481105657459072,0.5163490412367184,0.8553333333333334,0.0,0.0,0.13484721990315576,0.024182194497820546,0.2191646832101949,0.13772903820183122,0.389286601698508,0.8553333333333334,0.0,0.0,-0.04987640417817707
55,653760,e_motorbike,3.177477477477477,4.643243243243243,5.641007692781531,5.659222664338751,-0.01821497155721996,0.996,0.030303030303030304,0.3,0.13066252092800762,0.023898417042886477,0.33983787175977853,0.4678756523421731,0.35764937204790626,0.996,0.030303030303030304,0.3,-0.05422686442378227
